Region,Soil_Type,Start_Season,Number_of_Seasons,Crop1,Crop2,Crop3,Yield_t_per_ha,Carbon_Sequestration_kg_CO2
Punjab,Alluvial,Kharif,3,Maize,Mustard,Okra,3.01,194.35
Rajasthan,Arid Sandy,Kharif,2,Rice,Mustard,,2.61,188.06
West Bengal,Laterite,Rabi,2,Peas,Watermelon,,2.54,250.29
Tamil Nadu,Red,Kharif,2,Soybean,Mustard,,1.67,223.23
Punjab,Alluvial,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.88,283.09
West Bengal,Laterite,Kharif,2,Rice,Mustard,,3.19,202.77
Punjab,Alluvial,Rabi,3,Peas,Watermelon,Rice,2.92,286.83
Maharashtra,Black,Rabi,3,Barley,Bottle Gourd,Groundnut,3.21,241.61
Tamil Nadu,Red,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.29,272.14
Maharashtra,Black,Rabi,2,Mustard,Cucumber,,2.83,189.18
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,1.68,215.48
Maharashtra,Black,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.69,267.66
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,2.58,182.69
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Soybean,,3.35,219.95
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,1.96,228.15
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.09,163.46
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.83,231.16
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,3.67,181.91
West Bengal,Laterite,Rabi,2,Mustard,Okra,,1.89,187.7
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.67,202.98
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,2.53,206.78
Rajasthan,Arid Sandy,Rabi,2,Wheat,Bottle Gourd,,3.43,180.56
Punjab,Alluvial,Zaid,2,Bottle Gourd,Groundnut,,3.63,215.46
Maharashtra,Black,Kharif,3,Maize,Mustard,Okra,2.69,212.16
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.46,252.43
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Maize,2.65,259.52
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Watermelon,Rice,2.85,276.79
Punjab,Alluvial,Zaid,3,Bottle Gourd,Rice,Mustard,3.29,238.04
Punjab,Alluvial,Kharif,2,Groundnut,Mustard,,2.03,215.99
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.04,236.14
Tamil Nadu,Red,Kharif,3,Maize,Mustard,Cucumber,2.75,236.45
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.28,257.45
Punjab,Alluvial,Kharif,3,Cotton,Barley,Watermelon,3.19,239.36
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,2.87,203.62
West Bengal,Laterite,Kharif,3,Maize,Mustard,Cucumber,2.59,221.71
Tamil Nadu,Red,Kharif,2,Cotton,Barley,,2.2,197.06
West Bengal,Laterite,Zaid,3,Bottle Gourd,Rice,Mustard,3.48,191.8
Tamil Nadu,Red,Zaid,2,Watermelon,Maize,,2.98,206.65
Punjab,Alluvial,Rabi,2,Mustard,Okra,,2.41,203.74
Maharashtra,Black,Kharif,3,Rice,Mustard,Cucumber,3.35,226.75
Maharashtra,Black,Rabi,2,Wheat,Watermelon,,4.39,171.12
Punjab,Alluvial,Zaid,2,Watermelon,Soybean,,2.63,248.67
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Wheat,3.2,239.18
Punjab,Alluvial,Kharif,3,Cotton,Peas,Watermelon,2.64,268.83
Tamil Nadu,Red,Kharif,3,Rice,Mustard,Cucumber,3.48,221.16
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Peas,2.4,261.02
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.8,174.35
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Groundnut,Mustard,3.09,287.99
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,2.96,171.74
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.27,190.56
Punjab,Alluvial,Rabi,3,Chickpea,Bottle Gourd,Maize,3,240.28
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,2.37,202.42
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Cucumber,2.87,281.53
West Bengal,Laterite,Rabi,2,Peas,Watermelon,,2.65,241.88
West Bengal,Laterite,Rabi,2,Barley,Watermelon,,2.9,173.59
Maharashtra,Black,Kharif,3,Maize,Mustard,Okra,2.53,193.11
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Watermelon,,3.75,224.93
Rajasthan,Arid Sandy,Rabi,2,Peas,Bottle Gourd,,2.83,229.44
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Maize,,4.24,205.35
West Bengal,Laterite,Zaid,2,Bottle Gourd,Groundnut,,2.87,212.51
Rajasthan,Arid Sandy,Rabi,2,Peas,Watermelon,,3.47,223.91
Rajasthan,Arid Sandy,Rabi,2,Peas,Bottle Gourd,,2.56,257.6
Maharashtra,Black,Zaid,2,Bottle Gourd,Rice,,4.1,161.02
Maharashtra,Black,Kharif,2,Soybean,Mustard,,1.8,244.97
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,1.91,175.6
Rajasthan,Arid Sandy,Rabi,2,Wheat,Bottle Gourd,,3.57,202.51
West Bengal,Laterite,Kharif,2,Cotton,Chickpea,,2,242.38
Punjab,Alluvial,Rabi,3,Wheat,Watermelon,Groundnut,3.7,261.77
West Bengal,Laterite,Zaid,3,Watermelon,Groundnut,Mustard,3.04,252.27
Punjab,Alluvial,Rabi,3,Mustard,Cucumber,Cotton,2.43,214.38
Tamil Nadu,Red,Rabi,3,Barley,Watermelon,Soybean,2.58,260.32
West Bengal,Laterite,Kharif,3,Soybean,Mustard,Okra,2.17,255.31
West Bengal,Laterite,Rabi,3,Chickpea,Watermelon,Maize,3.24,262.69
Tamil Nadu,Red,Rabi,2,Wheat,Bottle Gourd,,3.65,207.54
Maharashtra,Black,Kharif,2,Soybean,Mustard,,2.21,236.23
Tamil Nadu,Red,Kharif,2,Cotton,Barley,,2.08,195.4
Maharashtra,Black,Rabi,2,Wheat,Watermelon,,3.36,203.42
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.08,219.22
Punjab,Alluvial,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.33,247.59
West Bengal,Laterite,Rabi,2,Mustard,Okra,,2.39,189.81
West Bengal,Laterite,Kharif,3,Soybean,Mustard,Cucumber,2.65,271.05
Maharashtra,Black,Rabi,2,Mustard,Okra,,1.98,160.13
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Barley,2.83,193.56
Maharashtra,Black,Rabi,2,Peas,Bottle Gourd,,3.09,255.42
Maharashtra,Black,Kharif,2,Maize,Mustard,,2.48,206.06
Rajasthan,Arid Sandy,Kharif,3,Cotton,Chickpea,Watermelon,2.45,241.99
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Wheat,3,219.36
Punjab,Alluvial,Zaid,3,Bottle Gourd,Maize,Mustard,2.85,239.85
